ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2016-02-24,288.78319810787957,278.25183010585675,285.1006986295324,288.78319810787957,288.78319810787957,-7.119913557622535,-7.119913557622535,-7.119913557622535,-0.10679862423134262,-0.10679862423134262,-0.10679862423134262,-7.013114933391193,-7.013114933391193,-7.013114933391193,0.0,0.0,0.0,281.66328455025706
2016-02-25,288.7606529757693,278.3738444419114,285.4491603600264,288.7606529757693,288.7606529757693,-6.914723917457988,-6.914723917457988,-6.914723917457988,-0.03585423909896347,-0.03585423909896347,-0.03585423909896347,-6.878869678359026,-6.878869678359026,-6.878869678359026,0.0,0.0,0.0,281.8459290583113
2016-02-26,288.738107843659,278.5922716275227,285.4911669732887,288.738107843659,288.738107843659,-6.6424661684842885,-6.6424661684842885,-6.6424661684842885,0.11555126436478588,0.11555126436478588,0.11555126436478588,-6.7580174328490745,-6.7580174328490745,-6.7580174328490745,0.0,0.0,0.0,282.0956416751747
2016-02-27,288.7155627115487,278.2808072850342,285.5026933742098,288.7155627115487,288.7155627115487,-6.739777762154146,-6.739777762154146,-6.739777762154146,-0.08764337750442935,-0.08764337750442935,-0.08764337750442935,-6.652134384649716,-6.652134384649716,-6.652134384649716,0.0,0.0,0.0,281.9757849493946
2016-02-28,288.69301757943845,278.7063869785968,285.64821508264134,288.69301757943845,288.69301757943845,-6.583438540045349,-6.583438540045349,-6.583438540045349,-0.021000589975391868,-0.021000589975391868,-0.021000589975391868,-6.562437950069956,-6.562437950069956,-6.562437950069956,0.0,0.0,0.0,282.1095790393931
2016-02-29,288.67047244732817,278.7631953852843,285.6456266933441,288.67047244732817,288.67047244732817,-6.353200638855217,-6.353200638855217,-6.353200638855217,0.13654928000163324,0.13654928000163324,0.13654928000163324,-6.489749918856851,-6.489749918856851,-6.489749918856851,0.0,0.0,0.0,282.3172718084729
2016-03-01,288.6479273152179,278.55501908953147,285.5074567234114,288.6479273152179,288.6479273152179,-6.43527357218679,-6.43527357218679,-6.43527357218679,-0.0008037135555248791,-0.0008037135555248791,-0.0008037135555248791,-6.434469858631266,-6.434469858631266,-6.434469858631266,0.0,0.0,0.0,282.21265374303107
2016-03-02,288.6253821831076,278.4555188788928,285.57702272800645,288.6253821831076,288.6253821831076,-6.503358183879827,-6.503358183879827,-6.503358183879827,-0.10679862423144929,-0.10679862423144929,-0.10679862423144929,-6.396559559648379,-6.396559559648379,-6.396559559648379,0.0,0.0,0.0,282.1220239992278
2016-03-03,288.6028370509973,278.67257038620374,285.58302340681956,288.6028370509973,288.6028370509973,-6.411393234807317,-6.411393234807317,-6.411393234807317,-0.03585423909965116,-0.03585423909965116,-0.03585423909965116,-6.375538995707667,-6.375538995707667,-6.375538995707667,0.0,0.0,0.0,282.19144381619003
2016-03-04,288.58029191888704,279.0320936409575,285.9834632958666,288.58029191888704,288.58029191888704,-6.2549426942383475,-6.2549426942383475,-6.2549426942383475,0.11555126436471065,0.11555126436471065,0.11555126436471065,-6.370493958603057,-6.370493958603057,-6.370493958603057,0.0,0.0,0.0,282.3253492246487
2016-03-05,288.55774678677676,278.09666371234454,285.6301267205782,288.55774678677676,288.55774678677676,-6.467738578135947,-6.467738578135947,-6.467738578135947,-0.08764337750466449,-0.08764337750466449,-0.08764337750466449,-6.380095200631282,-6.380095200631282,-6.380095200631282,0.0,0.0,0.0,282.0900082086408
2016-03-06,288.5352016546665,278.5278875783303,285.6767195528967,288.5352016546665,288.5352016546665,-6.423629191454778,-6.423629191454778,-6.423629191454778,-0.021000589975319846,-0.021000589975319846,-0.021000589975319846,-6.402628601479458,-6.402628601479458,-6.402628601479458,0.0,0.0,0.0,282.1115724632117
2016-03-07,288.51265652255614,278.64454692212445,285.91292369469,288.51265652255614,288.51265652255614,-6.299486291285204,-6.299486291285204,-6.299486291285204,0.13654928000173414,0.13654928000173414,0.13654928000173414,-6.436035571286939,-6.436035571286939,-6.436035571286939,0.0,0.0,0.0,282.21317023127096
2016-03-08,288.4901113904459,278.5625083142934,285.6051807925608,288.4901113904459,288.4901113904459,-6.478766332918757,-6.478766332918757,-6.478766332918757,-0.0008037135550611583,-0.0008037135550611583,-0.0008037135550611583,-6.477962619363694,-6.477962619363694,-6.477962619363694,0.0,0.0,0.0,282.01134505752714
2016-03-09,288.46756625833564,278.1829936760304,285.56530856309695,288.46756625833564,288.46756625833564,-6.632617390105877,-6.632617390105877,-6.632617390105877,-0.10679862423127905,-0.10679862423127905,-0.10679862423127905,-6.5258187658746,-6.5258187658746,-6.5258187658746,0.0,0.0,0.0,281.8349488682298
2016-03-10,288.4450211262253,278.4048467932377,285.2820205526168,288.4450211262253,288.4450211262253,-6.612693497921007,-6.612693497921007,-6.612693497921007,-0.03585423909953217,-0.03585423909953217,-0.03585423909953217,-6.576839258821477,-6.576839258821477,-6.576839258821477,0.0,0.0,0.0,281.8323276283043
2016-03-11,288.422475994115,278.08701279648096,285.6025612427847,288.422475994115,288.422475994115,-6.51260262246792,-6.51260262246792,-6.51260262246792,0.11555126436463539,0.11555126436463539,0.11555126436463539,-6.628153886832555,-6.628153886832555,-6.628153886832555,0.0,0.0,0.0,281.9098733716471
2016-03-12,288.39993086200474,278.1311772839442,285.1980100250923,288.39993086200474,288.39993086200474,-6.764501431818613,-6.764501431818613,-6.764501431818613,-0.0876433775047111,-0.0876433775047111,-0.0876433775047111,-6.676858054313901,-6.676858054313901,-6.676858054313901,0.0,0.0,0.0,281.63542943018615
2016-03-13,288.37738572989446,278.2515625147779,285.2628976694193,288.37738572989446,288.37738572989446,-6.741085302823625,-6.741085302823625,-6.741085302823625,-0.02100058997500031,-0.02100058997500031,-0.02100058997500031,-6.7200847128486245,-6.7200847128486245,-6.7200847128486245,0.0,0.0,0.0,281.6363004270708
2016-03-14,288.35484059778423,277.9798305088617,285.3525580599333,288.35484059778423,288.35484059778423,-6.6185259431709484,-6.6185259431709484,-6.6185259431709484,0.13654928000146108,0.13654928000146108,0.13654928000146108,-6.75507522317241,-6.75507522317241,-6.75507522317241,0.0,0.0,0.0,281.7363146546133
2016-03-15,288.3322954656739,277.95855722473306,284.9680017423083,288.3322954656739,288.3322954656739,-6.780050969618615,-6.780050969618615,-6.780050969618615,-0.000803713555279523,-0.000803713555279523,-0.000803713555279523,-6.779247256063335,-6.779247256063335,-6.779247256063335,0.0,0.0,0.0,281.55224449605527
2016-03-16,288.3097503335636,277.7930202560677,284.827829902978,288.3097503335636,288.3097503335636,-6.897056551097212,-6.897056551097212,-6.897056551097212,-0.1067986242313857,-0.1067986242313857,-0.1067986242313857,-6.790257926865827,-6.790257926865827,-6.790257926865827,0.0,0.0,0.0,281.4126937824664
2016-03-17,288.28720520145333,277.7706177198988,284.986423203553,288.28720520145333,288.28720520145333,-6.821914733682008,-6.821914733682008,-6.821914733682008,-0.035854239099368405,-0.035854239099368405,-0.035854239099368405,-6.78606049458264,-6.78606049458264,-6.78606049458264,0.0,0.0,0.0,281.4652904677713
2016-03-18,288.26466006934305,277.87687591371105,285.1811073605105,288.26466006934305,288.26466006934305,-6.649401874081261,-6.649401874081261,-6.649401874081261,0.11555126436456016,0.11555126436456016,0.11555126436456016,-6.764953138445822,-6.764953138445822,-6.764953138445822,0.0,0.0,0.0,281.6152581952618
2016-03-19,288.24211493723277,277.8454357804371,284.67913056491625,288.24211493723277,288.24211493723277,-6.813261924850923,-6.813261924850923,-6.813261924850923,-0.08764337750469973,-0.08764337750469973,-0.08764337750469973,-6.725618547346223,-6.725618547346223,-6.725618547346223,0.0,0.0,0.0,281.42885301238186
2016-03-20,288.2195698051225,278.113027923649,285.3138704165286,288.2195698051225,288.2195698051225,-6.688153904054186,-6.688153904054186,-6.688153904054186,-0.021000589975882764,-0.021000589975882764,-0.021000589975882764,-6.667153314078303,-6.667153314078303,-6.667153314078303,0.0,0.0,0.0,281.5314159010683
2016-03-21,288.1970246730122,278.23240959142254,285.2456643364357,288.1970246730122,288.1970246730122,-6.4525371296462035,-6.4525371296462035,-6.4525371296462035,0.1365492800018195,0.1365492800018195,0.1365492800018195,-6.589086409648024,-6.589086409648024,-6.589086409648024,0.0,0.0,0.0,281.744487543366
2016-03-22,288.1744795409019,277.9307825217218,284.8748196175149,288.1744795409019,288.1744795409019,-6.4921900283841225,-6.4921900283841225,-6.4921900283841225,-0.0008037135554978838,-0.0008037135554978838,-0.0008037135554978838,-6.491386314828625,-6.491386314828625,-6.491386314828625,0.0,0.0,0.0,281.6822895125178
