horizon,mse,rmse,mae,mape,mdape,smape,coverage
140 days,15.975051546757905,3.9968802267215744,3.1237810983733447,0.010816157927578514,0.008684724448083382,0.010849129387001452,0.8195718654434251
141 days,16.54270425356656,4.067272335800316,3.1637538321290952,0.010944345346776675,0.00853831680796747,0.010980089484317826,0.8165137614678899
142 days,17.355086571530737,4.165943659188244,3.2224721624756842,0.01113446171868769,0.00853831680796747,0.01117488192962639,0.8073394495412844
143 days,17.730863137094797,4.210803146324321,3.2502109587118446,0.01122262804453221,0.00853831680796747,0.01126612726294449,0.7981651376146789
144 days,17.7138740397589,4.208785340185325,3.241272908295191,0.01118796893052563,0.008376815466236939,0.01123158057164017,0.8042813455657493
145 days,17.814426806444025,4.220714016187785,3.265868029948545,0.011275235157878408,0.00853831680796747,0.011314327419145545,0.8042813455657493
146 days,18.177950405278274,4.263560765988714,3.332404190883994,0.011511203440918308,0.009409988657928522,0.01154572486945116,0.8134556574923548
147 days,18.76112255732102,4.331411150805361,3.4211870452937063,0.01181670450647193,0.009432829128574027,0.011850674231751885,0.8073394495412844
148 days,19.709643089705025,4.439554379631477,3.5308777572464467,0.01218901011492753,0.009843882735848127,0.012224147884167478,0.7889908256880734
149 days,20.605480999175924,4.539326051208034,3.647138751837178,0.012595653537573802,0.010649337920663889,0.012627681816748625,0.7798165137614679
150 days,21.405398060025284,4.62659681191535,3.7411260522258925,0.01293094999570598,0.010769073173423087,0.01295742879806949,0.7614678899082569
151 days,21.65388337490063,4.653373332852269,3.7719680161263867,0.013047359059564093,0.010991832539434298,0.013068967482006602,0.7584097859327218
152 days,22.154053588580968,4.706809278968181,3.8434200117910358,0.013299761310490753,0.011461937186380182,0.013318243522703816,0.7614678899082569
153 days,23.22671445957475,4.819410177560606,3.9647829318369214,0.013724528300286186,0.013186631438744618,0.013739336606564196,0.7431192660550459
154 days,24.260102034459795,4.925454500293328,4.080301432239636,0.014125932951402236,0.014115154075137215,0.014138137138319191,0.7308868501529052
155 days,25.109292260254687,5.010917307265675,4.170633807310567,0.014438294765973535,0.014578362346900315,0.014447938368941062,0.7186544342507645
156 days,25.9444459289437,5.0935690757016046,4.2592516716437006,0.014738018890883492,0.014613003315857121,0.014748300332636905,0.7033639143730888
157 days,27.229785497804933,5.218216697091539,4.373862487930751,0.01511819036872899,0.014845718055575588,0.015132916035884007,0.6941896024464832
158 days,28.28821373090235,5.318666536915277,4.443922668302442,0.015339405675237259,0.014845718055575588,0.015359945890725524,0.6850152905198778
159 days,29.249779044061693,5.408306485773684,4.509383221389665,0.01555133456854832,0.01503091661825503,0.01557347730351814,0.6758409785932722
160 days,30.44284011473737,5.517503068847119,4.596389735415358,0.01583958282800949,0.015708030370080776,0.015862425459888745,0.6666666666666667
161 days,32.31283776927818,5.684438210525133,4.7483577010474045,0.01635621549040054,0.015853449543960993,0.01637818668667193,0.6513761467889908
162 days,34.07828017541539,5.837660505323634,4.921993265752762,0.016949172188561314,0.016471179379320678,0.016970483612108154,0.6330275229357798
163 days,35.64583684105315,5.970413456457865,5.060999786096252,0.017407686258532257,0.016959105809102735,0.017434716001084496,0.6146788990825688
164 days,36.89916322090964,6.074468143048381,5.164028792669269,0.017739976900352682,0.017607621865727792,0.01777309678422998,0.6055045871559633
165 days,37.760915222736,6.144991067750709,5.267473074201187,0.018087790703977005,0.018507742240437525,0.01812211606352006,0.5963302752293578
166 days,38.2271585455182,6.182811540514412,5.335984005348211,0.018324903506798978,0.018884372741710356,0.01835773256949279,0.5963302752293578
167 days,38.59825437780144,6.212749341298218,5.386326795840658,0.018497895554500782,0.01921734105336723,0.018529507983555845,0.5932721712538227
168 days,38.77930947247725,6.227303547481626,5.3922273145973065,0.018508421149802688,0.01921734105336723,0.018541200865490676,0.5932721712538227
169 days,38.99455610264343,6.244562122570599,5.406336621994588,0.018547792267198653,0.019972136157043813,0.01858359261052562,0.5932721712538227
170 days,39.02350533885582,6.246879648180828,5.403590229010819,0.01852630014983644,0.019972136157043813,0.01856618655963247,0.5963302752293578
171 days,38.936076032385664,6.239877886015532,5.387068430608403,0.018467619026065706,0.019972136157043813,0.018508073235374088,0.5963302752293578
172 days,38.78313126413938,6.227610397587455,5.3598689670079915,0.01837501892667798,0.019972136157043813,0.01841460748209178,0.5963302752293578
173 days,38.62619689066449,6.214997738588847,5.341516705839832,0.018318943379472458,0.019972136157043813,0.018355831330932347,0.6024464831804281
174 days,38.2879428767511,6.187725177862306,5.324870969027415,0.01827542439855016,0.01921734105336723,0.018305951385048425,0.6116207951070337
175 days,37.75441786475954,6.144462373939606,5.294417129390175,0.018177063715969086,0.018975590763046946,0.01820135308747242,0.6207951070336392
176 days,37.11163449756186,6.09193191832951,5.233683260027551,0.01797143401428084,0.018975590763046946,0.017989118198742608,0.6299694189602447
177 days,36.3829780469547,6.031830406017289,5.175326137501782,0.017776154504484946,0.018975590763046946,0.017788229705824016,0.6391437308868502
178 days,35.496752698645516,5.957915130198274,5.092728102221224,0.01750013511925378,0.018523805194534636,0.017508036520664464,0.6483180428134557
179 days,34.87787741164515,5.905749521580233,5.035523314481678,0.017307047009609822,0.018507742240437525,0.017311611768350808,0.6574923547400612
180 days,34.627518598363125,5.8845151540601135,5.015947828299026,0.01723712352576876,0.018507742240437525,0.017239428676690947,0.6605504587155964
181 days,34.3690817118852,5.862514964747229,4.990732452867929,0.017143838252533537,0.018065245474779872,0.0171459196162202,0.6666666666666667
182 days,33.96321522631766,5.827796772908065,4.937542439602504,0.016951758001370883,0.01785785793876792,0.01695291243327072,0.6697247706422018
183 days,33.85645896327493,5.818630333959611,4.919702059339058,0.01688508779902275,0.01785785793876792,0.016881942689184675,0.6758409785932722
184 days,33.38016794085237,5.777557264177688,4.878392480009771,0.016742246717788973,0.016959105809102735,0.016735088025483073,0.691131498470948
185 days,32.63653834265979,5.7128397791868615,4.787519065800088,0.01642254887290018,0.01692989943035357,0.01641536227342476,0.7033639143730888
186 days,32.0966775855199,5.665392977148178,4.721802682153189,0.016188461365950795,0.015853449543960993,0.016182913774749404,0.7186544342507645
187 days,31.81236465563231,5.640245088259225,4.680693433169208,0.01604270260906975,0.015853449543960993,0.016038345706023346,0.7308868501529052
188 days,31.58300380979857,5.6198757824171315,4.648174383171882,0.01592787497622832,0.01537334102762283,0.015924046351833705,0.7339449541284404
189 days,31.234425731576742,5.5887767652301825,4.6017445574484475,0.015765511169762637,0.015057543458784664,0.015762221203671076,0.746177370030581
190 days,30.2818140682813,5.502891427993224,4.502943904999901,0.015416975876995552,0.014781523927103296,0.015415601677928804,0.764525993883792
191 days,28.92033409743836,5.377762926853355,4.362393991212193,0.014925227228070284,0.01394348850152001,0.014926103999608356,0.7889908256880734
192 days,27.576423631359646,5.251325892701733,4.241081626512318,0.014502715373153173,0.013814273984345267,0.014505261551645839,0.8165137614678899
193 days,26.226483935531178,5.121179935867434,4.135377010182275,0.014145993417570796,0.012406072432066656,0.014146019110800252,0.8379204892966361
194 days,24.94675137770556,4.994672299331114,4.050682455483274,0.013866228305338242,0.012406072432066656,0.01386198410358773,0.8562691131498471
195 days,23.749594416623964,4.873355560250449,3.9687734921761684,0.013601783112634727,0.01195420454290426,0.013592348259251135,0.8746177370030581
196 days,22.374699684521143,4.730190237667101,3.8691057994416713,0.013271406889152414,0.01195420454290426,0.0132566173062068,0.892966360856269
197 days,20.541228241210145,4.532243179840436,3.71960401639436,0.012763149606006424,0.011062602119254531,0.01274516355416573,0.91131498470948
