index,ds,city_name,y,temp_min,temp_max,rain_1h,clouds_all
3864,2017-02-10,Valencia,282.1083333333333,282.1083333333333,282.1083333333333,0.0,28.958333333333332
3869,2017-02-11,Valencia,284.9833333333333,284.9833333333333,284.9833333333333,0.0,65.20833333333333
3874,2017-02-12,Valencia,287.31666666666666,287.31666666666666,287.31666666666666,0.0124999999999999,30.208333333333332
3879,2017-02-13,Valencia,286.9120013020833,286.9120013020833,286.9120013020833,0.0999999999999999,33.125
3884,2017-02-14,Valencia,282.05909375,282.05909375,282.05909375,0.0,12.333333333333334
3889,2017-02-15,Valencia,280.829625,280.829625,280.829625,0.0,25.166666666666668
3894,2017-02-16,Valencia,281.8765416666667,281.8765416666667,281.8765416666667,0.075,68.83333333333333
3899,2017-02-17,Valencia,280.044625,280.044625,280.044625,0.0,29.5
3904,2017-02-18,Valencia,280.0172083333334,280.0172083333334,280.0172083333334,0.0,11.666666666666666
3909,2017-02-19,Valencia,281.38058333333333,281.38058333333333,281.38058333333333,0.15,77.83333333333333
3914,2017-02-20,Valencia,278.9642083333334,278.9642083333334,278.9642083333334,0.0,0.0
3919,2017-02-21,Valencia,280.8706145833333,280.8706145833333,280.8706145833333,0.0,0.0
3924,2017-02-22,Valencia,284.81666666666666,284.81666666666666,284.81666666666666,0.0,0.0
3929,2017-02-23,Valencia,286.275,286.275,286.275,0.0124999999999999,8.333333333333334
3934,2017-02-24,Valencia,285.8583333333333,285.8583333333333,285.8583333333333,0.1875,48.958333333333336
3939,2017-02-25,Valencia,284.775,284.775,284.775,0.0,31.875
3944,2017-02-26,Valencia,285.44166666666666,285.44166666666666,285.44166666666666,0.0,18.166666666666668
3949,2017-02-27,Valencia,287.4833333333333,287.4833333333333,287.4833333333333,0.0,6.666666666666667
3954,2017-02-28,Valencia,288.275,288.275,288.275,0.0,11.666666666666666
3959,2017-03-01,Valencia,287.44166666666666,287.44166666666666,287.44166666666666,0.0,8.333333333333334
3964,2017-03-02,Valencia,285.9,285.9,285.9,0.0,8.333333333333334
3969,2017-03-03,Valencia,283.7333333333333,283.7333333333333,283.7333333333333,0.0124999999999999,60.833333333333336
3974,2017-03-04,Valencia,283.31666666666666,283.31666666666666,283.31666666666666,0.0,13.958333333333334
3979,2017-03-05,Valencia,286.275,286.275,286.275,0.0,15.0
